Mission_ID,Planet_Name,Distance_From_Earth,Crew_Size,Mission_Duration,Budget,Technology_Rating,Atmospheric_Composition,Surface_Terrain,Communication_Latency,Energy_Resources,Previous_Attempts,Alien_Contact_Probability,Critical_Failures,Success_Status
4f91bb4e-f4f4-4350-a24c-6a7fac3b3923,Zarathustra,57.01,49,56,293.77,6,Hydrogen-rich,Oceanic,4.19,Geothermal,0,0.09881294550791409,2,No
ed88a267-b191-499d-94c8-7d2b299d8bc4,Titanium,341.12,22,68,442.5,5,Oxygen-rich,Rocky,13.73,Chemical,4,0.3149850944419381,1,Yes
efafabc1-d683-4719-981c-9ac3d242b368,Elysium,601.8,31,217,464.68,5,Carbon dioxide-heavy,Icy,16.08,Geothermal,2,0.9517260820991158,2,Yes
6250f932-cd75-4d62-86f5-f80259bef166,Zarathustra,791.82,36,247,430.0,3,Oxygen-rich,Rocky,17.64,Geothermal,1,0.12747670622509966,2,No
37cc62e9-9f87-4b6a-993c-b9fc0d50906f,Titanium,680.38,9,268,298.8,9,Oxygen-rich,Oceanic,12.78,Chemical,0,0.4874908541918786,0,No
5d0a4032-cb5b-4913-97a1-bfeb47f3f498,Aurora,641.3,24,45,454.45,5,Carbon dioxide-heavy,Icy,17.8,Chemical,0,0.5576770686552254,2,No
b277bd1e-4a4e-4fdb-a109-44410d2d1591,Zarathustra,835.14,26,31,276.16,10,Hydrogen-rich,Icy,19.82,Nuclear,4,0.6799172699154591,2,Yes
f517a53e-2375-4799-a777-4f8c21259c72,Elysium,62.44,40,138,462.47,5,Carbon dioxide-heavy,Oceanic,11.21,Nuclear,3,1.0,2,Yes
3987fcda-134a-4b13-82fc-18c84888f561,Elysium,533.47,10,98,466.14,2,Hydrogen-rich,Volcanic,10.82,Solar,0,0.5291043194362695,0,No
eec8ac5d-ea11-444d-80bc-726e0421ba7f,Zarathustra,441.19,13,343,374.63,2,Carbon dioxide-heavy,Volcanic,4.6,Solar,3,0.11398495604919442,1,Yes
40274a2e-dbc1-4365-9bf6-cd112d44f317,Zarathustra,515.27,20,157,468.24,3,Carbon dioxide-heavy,Icy,18.24,Nuclear,0,0.30808723385532777,1,No
d1480e5c-ff1b-4381-94e7-881462cc68df,Aurora,279.83,9,265,61.03,7,Carbon dioxide-heavy,Volcanic,15.6,Solar,0,0.6163703607267489,1,Yes
3dce62ec-10be-4d1f-8e85-bb2877cf0322,Titanium,386.27,11,325,418.51,4,Methane-dominated,Oceanic,5.12,Geothermal,3,0.3703606920389771,1,Yes
69321650-2328-421e-83e2-240be18af49a,Titanium,146.53,18,173,390.42,3,Oxygen-rich,Volcanic,15.91,Solar,3,0.12423211054220497,1,Yes
342f1531-7530-444d-941a-fd091fc07fa4,Aurora,373.69,27,44,245.55,7,Methane-dominated,Rocky,2.44,Solar,3,0.8541779905920305,0,No
8c88ed2b-5013-4383-a64c-eb706fc65ff1,Elysium,538.37,6,197,57.76,6,Methane-dominated,Oceanic,4.48,Solar,0,0.7728855123042077,2,Yes
802d2f7a-88d5-47c5-b226-d2f206e6c3b6,Xenon,379.16,35,325,141.11,2,Oxygen-rich,Icy,0.18,Solar,2,1.0,2,No
bc4192b1-a7dd-4d86-9c22-ef4c62c02297,Titanium,854.0,10,292,145.62,5,Hydrogen-rich,Icy,17.99,Nuclear,0,0.8053653934565587,2,Yes
91a5cc8a-68af-4aee-a0b2-82f4fbc75350,Elysium,392.8,26,338,150.87,1,Oxygen-rich,Oceanic,1.87,Chemical,4,0.8760093581471203,0,Yes
7361f828-a418-4550-a813-ce0046342b37,Aurora,218.85,11,84,148.0,2,Oxygen-rich,Oceanic,3.9,Solar,2,0.18913724609826515,0,Yes
9e557864-868a-43b3-9d95-5ab343c0e24d,Titanium,952.72,26,44,340.25,7,Methane-dominated,Rocky,9.69,Solar,0,0.8577873823090905,0,No
a33e0c4f-568e-44bb-aa1a-844adecc7930,Zarathustra,260.3,14,82,343.22,3,Carbon dioxide-heavy,Volcanic,15.93,Chemical,0,0.2977384860869753,1,No
58295f44-ecbc-4581-8ece-18eaea0a1b41,Zarathustra,228.49,7,268,127.67,3,Oxygen-rich,Volcanic,18.22,Chemical,1,0.6286369744774157,1,No
9fca2c46-7f3b-4eb8-bd83-8c9134039c1b,Xenon,45.55,40,95,219.71,2,Hydrogen-rich,Oceanic,7.49,Geothermal,1,0.9744112326715579,0,Yes
5882bf48-9e83-4f32-acaf-bb597fae11ff,Zarathustra,953.48,40,360,127.58,4,Methane-dominated,Volcanic,8.78,Chemical,1,0.6298591274118475,0,No
bf756d09-8641-47f3-ace6-35d6002ccb33,Titanium,780.27,12,33,184.5,10,Methane-dominated,Oceanic,6.07,Solar,4,0.4784792656526124,2,Yes
e5034875-5ea0-4611-b1d2-f44fcd34e5f6,Zarathustra,115.78,25,117,140.28,6,Methane-dominated,Oceanic,2.49,Chemical,2,0.0,2,No
6b155c59-eb02-4fb1-b00e-43ea2c4e81f3,Elysium,916.44,29,315,156.24,10,Hydrogen-rich,Volcanic,13.75,Nuclear,1,0.3876736006483892,0,Yes
003384e0-97cd-433d-8874-598082e26d39,Elysium,754.81,28,266,481.83,6,Oxygen-rich,Icy,5.15,Solar,0,0.5028569949471983,2,No
